时段,工作日平均负荷,周末平均负荷,差值_周末减工作日
00-01,94.100000,121.400000,27.300000
01-02,43.400000,67.000000,23.600000
02-03,34.600000,29.900000,-4.700000
03-04,19.000000,13.700000,-5.300000
04-05,26.300000,2.100000,-24.200000
05-06,169.800000,129.800000,-40.000000
06-07,340.200000,261.200000,-79.000000
07-08,625.600000,423.700000,-201.900000
08-09,567.000000,581.800000,14.800000
09-10,560.600000,758.500000,197.900000
10-11,604.100000,940.900000,336.800000
11-12,824.800000,1051.200000,226.400000
12-13,956.000000,1159.700000,203.700000
13-14,743.600000,1177.400000,433.800000
14-15,700.300000,1191.700000,491.400000
15-16,679.700000,1064.700000,385.000000
16-17,1051.400000,931.600000,-119.800000
17-18,1424.700000,817.300000,-607.400000
18-19,1362.900000,732.100000,-630.800000
19-20,1191.200000,607.800000,-583.400000
20-21,878.300000,488.200000,-390.100000
21-22,549.700000,367.400000,-182.300000
22-23,371.900000,259.800000,-112.100000
23-00,172.900000,143.300000,-29.600000
