区域,2025基准需求_kWh,保守情景_10percent,基准情景_15percent,加速情景_20percent
1,17884.285714,19672.714286,20566.928571,21461.142857
2,16504.428571,18154.871429,18980.092857,19805.314286
3,12828.000000,14110.800000,14752.200000,15393.600000
4,18694.571429,20564.028571,21498.757143,22433.485714
5,15076.428571,16584.071429,17337.892857,18091.714286
6,16940.000000,18634.000000,19481.000000,20328.000000
7,7274.000000,8001.400000,8365.100000,8728.800000
8,8452.857143,9298.142857,9720.785714,10143.428571
9,14956.000000,16451.600000,17199.400000,17947.200000
10,9396.428571,10336.071429,10805.892857,11275.714286
全市,138007.000000,151807.700000,158708.050000,165608.400000
