时段,全市综合典型日负荷_kWh,是否峰值时段,是否谷值时段
00-01,1019.000000,否,否
01-02,501.428571,否,否
02-03,332.571429,否,否
03-04,174.857143,否,是
04-05,193.857143,否,否
05-06,1583.714286,否,否
06-07,3176.285714,否,否
07-08,5679.142857,否,否
08-09,5712.285714,否,否
09-10,6171.428571,否,否
10-11,7003.285714,否,否
11-12,8894.857143,否,否
12-13,10142.000000,否,否
13-14,8675.428571,否,否
14-15,8407.000000,否,否
15-16,7897.000000,否,否
16-17,10171.714286,否,否
17-18,12511.571429,是,否
18-19,11826.714286,否,否
19-20,10245.142857,否,否
20-21,7668.428571,否,否
21-22,4976.142857,否,否
22-23,3398.714286,否,否
23-00,1644.428571,否,否
