区域,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00
1,144.714286,90.428571,67.000000,32.714286,17.714286,168.714286,439.571429,837.571429,733.285714,673.428571,722.857143,1045.857143,1257.428571,1032.000000,976.857143,904.857143,1383.285714,1856.428571,1633.571429,1454.285714,1037.714286,664.571429,459.857143,249.571429
2,135.285714,70.000000,31.142857,11.571429,47.571429,207.857143,383.857143,770.285714,669.142857,609.142857,668.000000,985.714286,1162.857143,979.142857,929.285714,844.857143,1291.285714,1739.428571,1515.571429,1333.714286,934.428571,591.857143,398.857143,193.571429
3,80.571429,29.000000,14.142857,11.857143,11.857143,105.142857,270.000000,550.000000,507.571429,484.000000,535.714286,783.428571,908.571429,812.285714,771.142857,683.285714,1040.000000,1316.285714,1178.428571,1058.285714,733.571429,481.714286,332.714286,128.428571
4,187.000000,129.571429,68.142857,61.571429,11.714286,272.142857,494.142857,839.285714,794.000000,745.142857,825.000000,1121.857143,1319.000000,1092.285714,1043.857143,963.857143,1438.142857,1711.285714,1555.428571,1379.285714,1096.714286,721.857143,515.857143,307.428571
5,86.285714,24.142857,5.714286,10.000000,10.000000,140.142857,257.857143,445.142857,469.142857,655.571429,854.142857,1000.428571,1120.142857,975.000000,1114.571429,1113.571429,981.000000,1114.142857,1393.714286,1207.857143,900.142857,596.714286,415.000000,186.000000
6,129.571429,72.142857,65.571429,8.571429,45.714286,207.285714,432.714286,732.571429,719.285714,708.000000,737.714286,1039.571429,1193.571429,1028.428571,963.428571,894.285714,1330.142857,1503.142857,1485.714286,1307.142857,1044.142857,641.285714,428.428571,221.571429
7,61.142857,9.285714,5.714286,7.857143,7.857143,110.857143,164.571429,305.285714,292.714286,384.142857,457.142857,578.285714,651.857143,550.714286,477.571429,394.714286,527.142857,619.571429,511.714286,416.428571,319.571429,205.571429,159.285714,55.000000
8,15.714286,8.571429,9.285714,9.285714,16.428571,62.428571,207.857143,410.714286,590.571429,703.714286,702.428571,587.285714,515.142857,424.714286,371.000000,434.000000,540.714286,812.571429,704.571429,493.571429,378.000000,262.000000,143.000000,49.285714
9,90.857143,45.857143,22.285714,6.428571,11.428571,144.142857,240.428571,378.142857,537.571429,733.857143,939.285714,1070.714286,1215.714286,1135.285714,1195.142857,1164.571429,1000.428571,1068.428571,1181.714286,1032.285714,766.428571,498.714286,326.285714,150.000000
10,87.857143,22.428571,43.571429,15.000000,13.571429,165.000000,285.285714,410.142857,399.000000,474.428571,561.000000,681.714286,797.714286,645.571429,564.142857,499.000000,639.571429,770.285714,666.285714,562.285714,457.714286,311.857143,219.428571,103.571429
