区域,y_综合日均负荷,人口密度,车流量,商业POI数,快充桩数,慢充桩数,现有总充电桩数
1,17884.285714,3861.000000,28505.000000,1258.000000,129.000000,86.000000,215.000000
2,16504.428571,3522.000000,26811.000000,1182.000000,119.000000,79.000000,198.000000
3,12828.000000,3280.000000,24599.000000,954.000000,99.000000,66.000000,165.000000
4,18694.571429,2652.000000,32021.000000,821.000000,109.000000,73.000000,182.000000
5,15076.428571,1893.000000,19513.000000,653.000000,76.000000,50.000000,126.000000
6,16940.000000,1564.000000,28024.000000,780.000000,95.000000,63.000000,158.000000
7,7274.000000,855.000000,12598.000000,229.000000,45.000000,30.000000,75.000000
8,8452.857143,923.000000,16823.000000,388.000000,59.000000,39.000000,98.000000
9,14956.000000,625.000000,10547.000000,192.000000,39.000000,26.000000,65.000000
10,9396.428571,786.000000,13216.000000,321.000000,53.000000,35.000000,88.000000
