区域,总面积_km2,既有覆盖面积_km2,单桩覆盖效率_a_i,90pct覆盖所需新增下界,100pct覆盖上界_n100,2026预测车次_Q_plan,既有服务能力_车次日,快充占比_theta
1,17.360000,14.020000,0.065209,25,52,1101.371429,12040.000000,0.600000
2,14.250000,11.100000,0.056061,31,57,1133.735714,11100.000000,0.601010
3,17.620000,14.500000,0.087879,16,36,991.957143,9240.000000,0.600000
4,110.070000,55.030000,0.302363,146,183,1559.235714,10180.000000,0.598901
5,80.100000,32.440000,0.257460,155,186,1244.957143,7080.000000,0.603175
6,60.080000,41.890000,0.265127,46,69,1156.571429,8860.000000,0.601266
7,139.870000,35.020000,0.466933,195,225,692.792857,4200.000000,0.600000
8,120.040000,42.000000,0.428571,155,183,1071.307143,5500.000000,0.602041
9,131.200000,26.170000,0.402615,229,261,1324.635714,3640.000000,0.600000
10,22.300000,14.500000,0.164773,34,48,847.221429,4940.000000,0.602273
