province,topsis_score_3d_balanced,pressure_level,cluster,cluster_name,cluster_name_order,pressure_level_cn
内蒙古,0.9708832314416608,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
山西,0.8486606302254287,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
新疆,0.8448097287218678,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
河北,0.8057415417129137,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
宁夏,0.7769505874768063,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
辽宁,0.756140498207689,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
山东,0.7350357080650923,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
江苏,0.709005836963471,I-高压力,3,II类：高规模—高强度工业型,3,I级：高压力
陕西,0.6813551725160337,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
安徽,0.6617041219716174,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
黑龙江,0.6277068060400297,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
浙江,0.6232917985116859,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
河南,0.6137209564225538,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
甘肃,0.6089921026320284,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
吉林,0.6068072883057705,II-较高压力,1,III类：中高规模—工业主导型,2,II级：较高压力
广西,0.6063305628434909,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
广东,0.5967969083805128,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
福建,0.5928086094722795,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
湖北,0.5658666857588391,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
天津,0.5549622484623948,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
江西,0.5328676349424294,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
贵州,0.5230549245479895,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
云南,0.5090152838045352,III-中压力,1,III类：中高规模—工业主导型,2,III级：中压力
四川,0.4811902350020097,IV-低压力,1,III类：中高规模—工业主导型,2,IV级：低压力
湖南,0.4784903472197573,IV-低压力,1,III类：中高规模—工业主导型,2,IV级：低压力
重庆,0.4676056428076093,IV-低压力,1,III类：中高规模—工业主导型,2,IV级：低压力
青海,0.4337855100974012,IV-低压力,2,I类：低综合压力型,1,IV级：低压力
上海,0.400238959906644,IV-低压力,2,I类：低综合压力型,1,IV级：低压力
海南,0.3360897420522263,IV-低压力,2,I类：低综合压力型,1,IV级：低压力
北京,0.0867404488309457,IV-低压力,2,I类：低综合压力型,1,IV级：低压力
