province,cluster_name,pressure_level,pressure_level_cn,topsis_score_4d,policy_subtype
内蒙古,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.9653230321207742,重点减排/深度工业脱碳
山西,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.8246501001164876,重点减排/深度工业脱碳
新疆,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.8166055647446883,重点减排/深度工业脱碳
河北,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.7835332721060869,重点减排/深度工业脱碳
辽宁,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.7353109592155852,重点减排/深度工业脱碳
山东,III类：中高规模—工业主导型,I-高压力,I级：高压力,0.7243397172837183,工业主导—高压力重点治理
宁夏,II类：高规模—高强度工业型,I-高压力,I级：高压力,0.717781381810272,重点减排/深度工业脱碳
江苏,III类：中高规模—工业主导型,I-高压力,I级：高压力,0.7004256347980502,工业主导—高压力重点治理
陕西,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.635156717947642,工业主导—较高压力结构优化
安徽,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.6273387595704812,工业主导—较高压力结构优化
河南,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.6041186485859018,工业主导—较高压力结构优化
浙江,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.6026087020082435,工业主导—较高压力结构优化
广东,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.5915752093211174,工业主导—较高压力结构优化
黑龙江,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.5875517498367887,工业主导—较高压力结构优化
湖北,III类：中高规模—工业主导型,II-较高压力,II级：较高压力,0.5585912096021018,工业主导—较高压力结构优化
福建,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.5458693535486946,工业主导—中压力技术改造
广西,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.5443470835415287,工业主导—中压力技术改造
甘肃,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.5344443883288423,工业主导—中压力技术改造
吉林,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.5250659364323911,工业主导—中压力技术改造
贵州,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.5139265440339448,工业主导—中压力技术改造
天津,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.486593397828583,工业主导—中压力技术改造
湖南,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.4862856480024571,工业主导—中压力技术改造
江西,III类：中高规模—工业主导型,III-中压力,III级：中压力,0.4750445112063817,工业主导—中压力技术改造
四川,III类：中高规模—工业主导型,IV-低压力,IV级：低压力,0.4732591372846135,工业主导—低压力协同发展
云南,III类：中高规模—工业主导型,IV-低压力,IV级：低压力,0.4631168700730246,工业主导—低压力协同发展
重庆,III类：中高规模—工业主导型,IV-低压力,IV级：低压力,0.4055489616890713,工业主导—低压力协同发展
上海,I类：低综合压力型,IV-低压力,IV级：低压力,0.399891695088258,低压力维持/绿色示范
青海,I类：低综合压力型,IV-低压力,IV级：低压力,0.3481053106167525,低压力维持/绿色示范
海南,I类：低综合压力型,IV-低压力,IV级：低压力,0.2375626716524232,低压力维持/绿色示范
北京,I类：低综合压力型,IV-低压力,IV级：低压力,0.1083310829818381,低压力维持/绿色示范
