representation,method,k,cluster,center_1,center_2,center_3,center_4,cluster_size
4d_direct,Kmeans,3,1,0.17100463904908592,0.32651339766485044,0.21926739336932918,0.41889768111139625,4
4d_direct,Kmeans,3,2,0.8385356297310578,0.8353791100281177,0.7520993941131144,0.9375610583636554,6
4d_direct,Kmeans,3,3,0.6551007321696726,0.4779427815505078,0.2875887791332625,0.7635492830812394,20
4d_direct,Ward,3,1,0.5926291384123363,0.47238735746389376,0.2882106589627204,0.7368076689595816,23
4d_direct,Ward,3,2,0.8385356297310578,0.8353791100281177,0.7520993941131144,0.9375610583636554,6
4d_direct,Ward,3,3,0.1555630161060625,0.0,0.0,0.0,1
4d_direct,Kmeans,4,1,0.7203684419447135,0.5011053740270077,0.3281761908036706,0.8229552229635312,13
4d_direct,Kmeans,4,2,0.8385356297310578,0.8353791100281177,0.7520993941131144,0.9375610583636554,6
4d_direct,Kmeans,4,3,0.1555630161060625,0.0,0.0,0.0,1
4d_direct,Kmeans,4,4,0.4265680438202457,0.4350539359318459,0.23625546756948487,0.624815848754447,10
4d_direct,Ward,4,1,0.44808681758634505,0.48958463365377647,0.26945132334251554,0.6690501609305428,13
4d_direct,Ward,4,2,0.8385356297310578,0.8353791100281177,0.7520993941131144,0.9375610583636554,6
4d_direct,Ward,4,3,0.1555630161060625,0.0,0.0,0.0,1
4d_direct,Ward,4,4,0.7805341554861247,0.4500308984170463,0.31259779526898646,0.8248924293973318,10
4d_direct,Kmeans,5,1,0.8677406506328813,0.5781675868467253,0.45084967480419563,0.8919410986677548,6
4d_direct,Kmeans,5,2,0.8095611731530145,0.8923676418238532,0.8580688434800161,0.9618504591943524,4
4d_direct,Kmeans,5,3,0.1555630161060625,0.0,0.0,0.0,1
4d_direct,Kmeans,5,4,0.6293000242015914,0.4049574465230078,0.21572676572576763,0.686968815308685,13
4d_direct,Kmeans,5,5,0.33934917514000756,0.5957101647772327,0.36660335727350596,0.7403832847425772,6
4d_direct,Ward,5,1,0.5412905111117771,0.3986198926908141,0.18617815140166658,0.6079074833773708,7
4d_direct,Ward,5,2,0.8385356297310578,0.8353791100281177,0.7520993941131144,0.9375610583636554,6
4d_direct,Ward,5,3,0.1555630161060625,0.0,0.0,0.0,1
4d_direct,Ward,5,4,0.3393491751400077,0.5957101647772328,0.3666033572735059,0.7403832847425772,6
4d_direct,Ward,5,5,0.7805341554861247,0.4500308984170463,0.31259779526898646,0.8248924293973318,10
3d_balanced,Kmeans,3,1,0.6188794459488589,0.37483823782793046,0.7487025101567999,,18
3d_balanced,Kmeans,3,2,0.17100463904908592,0.2728903955170898,0.41889768111139625,,4
3d_balanced,Kmeans,3,3,0.8741747993375424,0.7088328547948316,0.9274633536230403,,8
3d_balanced,Ward,3,1,0.6457084274468445,0.3783350474547996,0.7480879618059182,,21
3d_balanced,Ward,3,2,0.8385356297310578,0.793739252070616,0.9375610583636554,,6
3d_balanced,Ward,3,3,0.07538540773535393,0.26728039745175686,0.41224306271536476,,3
3d_balanced,Kmeans,4,1,0.8386203043696115,0.39247377663561905,0.8388887833194424,,7
3d_balanced,Kmeans,4,2,0.07538540773535393,0.26728039745175686,0.41224306271536476,,3
3d_balanced,Kmeans,4,3,0.549252488985461,0.37126568286438993,0.7026875510491559,,14
3d_balanced,Kmeans,4,4,0.8385356297310578,0.793739252070616,0.9375610583636554,,6
3d_balanced,Ward,4,1,0.5379710917879738,0.3732007919898796,0.676500325827104,,12
3d_balanced,Ward,4,2,0.8385356297310578,0.793739252070616,0.9375610583636554,,6
3d_balanced,Ward,4,3,0.07538540773535393,0.26728039745175686,0.41224306271536476,,3
3d_balanced,Ward,4,4,0.7893582083253388,0.3851807214080263,0.8435381431110038,,9
3d_balanced,Kmeans,5,1,0.549252488985461,0.37126568286438993,0.7026875510491559,,14
3d_balanced,Kmeans,5,2,0.8385356297310578,0.793739252070616,0.9375610583636554,,6
3d_balanced,Kmeans,5,3,0.1555630161060625,0.0,0.0,,1
3d_balanced,Kmeans,5,4,0.8386203043696115,0.39247377663561905,0.8388887833194424,,7
3d_balanced,Kmeans,5,5,0.03529660354999965,0.4009205961776353,0.6183645940730471,,2
3d_balanced,Ward,5,1,0.5379710917879738,0.3732007919898796,0.676500325827104,,12
3d_balanced,Ward,5,2,0.8385356297310578,0.793739252070616,0.9375610583636554,,6
3d_balanced,Ward,5,3,0.1555630161060625,0.0,0.0,,1
3d_balanced,Ward,5,4,0.7893582083253388,0.3851807214080263,0.8435381431110038,,9
3d_balanced,Ward,5,5,0.03529660354999965,0.4009205961776353,0.6183645940730471,,2
