representation,method,k,sse,silhouette,calinski_harabasz,davies_bouldin,iterations,kmeans_stability_mean_ari,kmeans_stability_q10_ari,kmeans_stability_min_ari,kmeans_ward_ari
4d_direct,Kmeans,3,2.4678628331784527,0.374837992287366,19.97265627221161,0.9543040594986394,3.0,0.9592935041952599,0.8847486726226433,0.6820815371090233,0.7123408453956691
4d_direct,Ward,3,2.740182025336181,0.41838990514365454,16.646144883135673,0.6087035893582117,,,,,0.7123408453956691
4d_direct,Kmeans,4,1.9579771270765394,0.2877770369816789,18.417900891208127,0.9393490904961455,5.0,0.6469199144171612,0.32343433427575236,0.240265369972483,0.6815985946420728
4d_direct,Ward,4,1.9588585059147663,0.27940806806061064,18.405714322032278,0.8834708976050274,,,,,0.6815985946420728
4d_direct,Kmeans,5,1.5165976217657045,0.309368270811529,18.966631585586804,0.8874075949754436,4.0,0.5925251523008093,0.34870864645417643,0.25676208500906866,0.4864818173965622
4d_direct,Ward,5,1.5397373675894386,0.30765770783677,18.587666667475634,0.9056107911215758,,,,,0.4864818173965622
3d_balanced,Kmeans,3,1.7123226988321851,0.3712309359130225,21.879007038122065,0.936153041266519,8.0,0.9521828751261691,0.8820537292712819,0.7783815912371572,0.6757582438348398
3d_balanced,Ward,3,1.8285915601089173,0.38124275145006076,19.629474145616022,0.8366034511725761,,,,,0.6757582438348398
3d_balanced,Kmeans,4,1.3491648664723523,0.2864921153516473,20.15934479527115,0.9476663514168401,3.0,0.7411390261182076,0.5533588203167668,0.3496809480401094,0.7868471953578337
3d_balanced,Ward,4,1.3593540165344964,0.27671734070788234,19.943277050661422,1.0046291670358638,,,,,0.7868471953578337
3d_balanced,Kmeans,5,0.9774474627179123,0.33738812538913426,22.443536502429712,0.7375681844648858,4.0,0.8722435910700906,0.6927162367223064,0.35358896112511606,0.7847712299158875
3d_balanced,Ward,5,0.9876366127800567,0.33188443083115543,22.14751391127251,0.7806013737144982,,,,,0.7847712299158875
