province,topsis_score_4d,pressure_level,cluster,cluster_name,cluster_name_order,pressure_level_cn
北京,0.1083310829818381,IV-低压力,1,I类：低综合压力型,1,IV级：低压力
海南,0.2375626716524232,IV-低压力,1,I类：低综合压力型,1,IV级：低压力
青海,0.3481053106167525,IV-低压力,1,I类：低综合压力型,1,IV级：低压力
上海,0.399891695088258,IV-低压力,1,I类：低综合压力型,1,IV级：低压力
重庆,0.4055489616890713,IV-低压力,3,III类：中高规模—工业主导型,2,IV级：低压力
云南,0.4631168700730246,IV-低压力,3,III类：中高规模—工业主导型,2,IV级：低压力
四川,0.4732591372846135,IV-低压力,3,III类：中高规模—工业主导型,2,IV级：低压力
江西,0.4750445112063817,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
湖南,0.4862856480024571,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
天津,0.486593397828583,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
贵州,0.5139265440339448,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
吉林,0.5250659364323911,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
甘肃,0.5344443883288423,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
广西,0.5443470835415287,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
福建,0.5458693535486946,III-中压力,3,III类：中高规模—工业主导型,2,III级：中压力
湖北,0.5585912096021018,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
黑龙江,0.5875517498367887,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
广东,0.5915752093211174,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
浙江,0.6026087020082435,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
河南,0.6041186485859018,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
安徽,0.6273387595704812,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
陕西,0.635156717947642,II-较高压力,3,III类：中高规模—工业主导型,2,II级：较高压力
江苏,0.7004256347980502,I-高压力,3,III类：中高规模—工业主导型,2,I级：高压力
宁夏,0.717781381810272,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
山东,0.7243397172837183,I-高压力,3,III类：中高规模—工业主导型,2,I级：高压力
辽宁,0.7353109592155852,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
河北,0.7835332721060869,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
新疆,0.8166055647446883,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
山西,0.8246501001164876,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
内蒙古,0.9653230321207742,I-高压力,2,II类：高规模—高强度工业型,3,I级：高压力
