province,population_2022_10k,gdp_2022_100m_yuan
上海,2475,44652.8
云南,4693,28954.2
内蒙古,2401,23158.6
北京,2184,41610.9
吉林,2348,13070.2
四川,8374,56749.8
天津,1363,16311.3
宁夏,728,5069.6
安徽,6127,45045.0
山东,10163,87435.1
山西,3481,25642.6
广东,12657,129118.6
广西,5047,26300.9
新疆,2587,17741.3
江苏,8515,122875.6
江西,4528,32074.7
河北,7420,42370.4
河南,9872,61345.1
浙江,6577,77715.4
海南,1027,6818.2
湖北,5844,53734.9
湖南,6604,48670.4
甘肃,2492,11201.6
福建,4188,53109.9
贵州,3856,20164.6
辽宁,4197,28975.1
重庆,3213,29129.0
陕西,3956,32772.7
青海,595,3610.1
黑龙江,3099,15901.0
