province,z_emission_total,z_carbon_intensity,z_per_capita_emission,z_industrial_emission_share
上海,0.45786233299028195,0.2522822705218459,0.32715850890433146,0.43886153629949093
云南,0.5268594122880245,0.44415511706789046,0.14853587929424247,0.6956659009113934
内蒙古,0.9845204734017414,0.9247757066307266,1.0,0.9576404737760629
北京,0.15556301610606252,0.0,0.0,0.0
吉林,0.4727902988219675,0.6329894841437994,0.3677007224517774,0.8828604147242182
四川,0.637852619038456,0.34339423925875434,0.04774490366144682,0.5899194144031629
天津,0.40605365332001847,0.5064287903452045,0.5093965513101977,0.7560769157567804
宁夏,0.5656156946792766,1.0,0.9693023614935786,1.0
安徽,0.7566942182472906,0.519903132013151,0.32619312559289815,0.8661283709545848
山东,1.0,0.5416927570305402,0.4215336605216087,0.8947700138652764
山西,0.8741752423198315,0.7945368698659749,0.7077528122638779,0.9629347748551512
广东,0.8688904225928794,0.3066132888254322,0.16622855436170408,0.7607424629731601
广西,0.6054421189591843,0.5439444136569407,0.21692047290901398,0.8730823752905966
新疆,0.8139332822112082,0.8501579907987113,0.7552202001626076,0.9268265881461953
江苏,0.9621846163139921,0.40579205884818703,0.44743617546957615,0.8995704649371126
江西,0.5322204956652893,0.4184113471756077,0.1700877818150925,0.7751816536035905
河北,0.9782571295037228,0.7385586722831736,0.5246233643188478,0.9338403858056508
河南,0.8167566602475368,0.48190540918580343,0.2038420009335072,0.7267925402402304
浙江,0.7712202297238652,0.37002838745770344,0.31503674586090546,0.811004401420702
海南,0.0,0.3999415344064841,0.11761733805252068,0.603783465762073
湖北,0.7011176799331988,0.41692113256353047,0.276112818952325,0.6570810059742831
湖南,0.6369865668528191,0.3885145270364087,0.1450524378876071,0.5153375998850969
甘肃,0.48817351615538,0.6930123969255808,0.3623227792077233,0.8326275626843341
福建,0.628439625381584,0.3546949242739943,0.3230603016058582,0.8465394294723397
贵州,0.5714987902027078,0.592656149588004,0.2858979638909821,0.550012310505885
辽宁,0.8147119562705663,0.7042454205901194,0.5556976264397745,0.8441241275988731
重庆,0.42575336074486114,0.3509255981871874,0.17876958435796372,0.6903739680329757
陕西,0.6945959834617166,0.5588134803151809,0.4296140964824684,0.9132132288450314
青海,0.07059320709999932,0.6538297857310716,0.43229372652046477,0.6329457223840212
黑龙江,0.5984843754426805,0.6880589971112558,0.410289026098352,0.7340056271440364
