province,source_sheet,emission_total_mtco2,industrial_emission_mtco2,industrial_emission_share,industrial_emission_share_pct,gdp_2022_100m_yuan,population_2022_10k,carbon_intensity_tco2_per_10k_yuan,per_capita_emission_tco2_per_person
山东,Shandong2022,920.905304452066,833.5137684862419,0.9051025816190497,90.51025816190497,87435.1,10163,1.0532444115144444,9.061352990771091
内蒙古,InnerMongolia2022,878.769744615783,830.7696807517098,0.9453781105253459,94.5378110525346,23158.6,2401,3.794571971603564,36.60015596067401
河北,Hebei2022,862.273721856768,801.8498012440981,0.9299248961425419,92.9924896142542,42370.4,7420,2.0350851581688345,11.620939647665336
江苏,Jiangsu2022,821.345905674838,745.8776497629799,0.9081163546437215,90.81163546437216,122875.6,8515,0.6684369440921045,9.645870882851884
山西,Shanxi2022,629.336654408677,597.1463526121211,0.9488504259666842,94.88504259666843,25642.6,3481,2.4542622604910465,18.079191450981813
广东,Guangdong2022,619.353860410031,510.891931067412,0.8248788999703435,82.48788999703434,129118.6,12657,0.4796782651066778,4.893370154144197
河南,Henan2022,528.975824777069,426.2023872416703,0.8057124111887128,80.57124111887128,61345.1,9872,0.8622951544248343,5.358345064597539
辽宁,Liaoning2022,525.713479151335,459.4260435263105,0.8739095757406999,87.39095757407,28975.1,4197,1.8143629500893357,12.525934695052062
新疆,Xinjiang2022,524.476393687672,485.3605594417698,0.9254192663069677,92.54192663069676,17741.3,2587,2.9562455608533313,20.273536671344107
浙江,Zhejiang2022,460.894579359081,393.6476214676978,0.8540947086318597,85.40947086318596,77715.4,6577,0.5930543744985949,7.007671877133662
安徽,Anhui2022,441.077218568729,391.38007154885196,0.8873277854133081,88.73277854133082,45045.0,6127,0.9791924044149828,7.198910046821103
湖北,Hubei2022,372.810249713111,286.2218376812213,0.7677413319550036,76.77413319550035,53734.9,5844,0.6937953726779262,6.379367722674726
陕西,Shaanxi2022,365.526129061286,335.0910789243005,0.9167363213810563,91.67363213810563,32772.7,3956,1.1153372442956668,9.239790926726137
四川,Sichuan2022,307.863676214341,225.61871113141075,0.7328526505813904,73.28526505813903,56749.8,8374,0.5424929712780328,3.6764231695049086
湖南,Hunan2022,307.058038080964,213.70137075683698,0.6959640988147293,69.59640988147294,48670.4,6604,0.63089277688485,4.649576591171472
福建,Fujian2022,299.219512343733,261.92852043290907,0.8753724594404614,87.53724594404613,53109.9,4188,0.5633968663916389,7.144687496268697
广西,Guangxi2022,279.107504323731,248.85533190046482,0.8916110389200524,89.16110389200524,26300.9,5047,1.0612089484532126,5.53016652117557
黑龙江,Heilongjiang2022,273.293395891859,221.2984964488224,0.809746959770624,80.97469597706241,15901.0,3099,1.7187182937668009,8.818760758046434
贵州,Guizhou2022,251.866531099655,179.5500013272102,0.712877572670298,71.2877572670298,20164.6,3856,1.2490529497220626,6.531808379140431
宁夏,Ningxia2022,247.423050285139,240.87124341567213,0.9735198201545234,97.35198201545234,5069.6,728,4.880524110090322,33.986682731475135
江西,Jiangxi2022,223.645074946473,186.33395116326778,0.8331681402233642,83.31681402233642,32074.7,4528,0.6972631854591719,4.9391580156023185
云南,Yunnan2022,220.046746229424,173.51376812713232,0.7885313966252621,78.8531396625262,28954.2,4693,0.7599821311914126,4.688829026836224
甘肃,Gansu2022,195.741193567455,169.7036719120717,0.8669798565093023,86.69798565093024,11201.6,2492,1.7474395940531264,7.854783048453251
吉林,Jilin2022,186.839588764021,167.72005610377724,0.8976687286312122,89.76687286312122,13070.2,2348,1.4295082612662466,7.957393047871422
上海,Shanghai2022,178.588614209177,117.88026403780052,0.6600659541471658,66.00659541471659,44652.8,2475,0.39994941909393583,7.215701584209172
重庆,Chongqing2022,162.055223095746,127.31820903627437,0.7856470566274301,78.56470566274301,29129.0,3213,0.5563363764487143,5.043735546086087
天津,Tianjin2022,152.678504319368,125.53504111830584,0.8222181745749597,82.22181745749597,16311.3,1363,0.9360290370440614,11.201651087261041
北京,Beijing2022,71.5544670473354,34.853013210589026,0.4870836811282897,48.70836811282897,41610.9,2184,0.17196087334649188,3.2763034362333054
青海,Qinghai2022,55.3334344741701,41.777656462420026,0.7550165078208191,75.50165078208191,3610.1,595,1.5327396602357304,9.299736886415143
海南,Hainan2022,44.6919345401215,33.06856190707083,0.7399223651279636,73.99223651279637,6818.2,1027,0.6554799586418923,4.3516976183175755
