bmi_group,week_integer,n,y_pct_mean,y_pct_median,pass_rate
20-<28,11,0,,,
20-<28,12,3,6.772515600000001,4.363533,1.0
20-<28,13,2,4.877224850000001,4.877224850000001,0.5
20-<28,14,0,,,
20-<28,15,0,,,
20-<28,16,6,4.898603383333334,4.4364002,0.8333333333333334
20-<28,17,0,,,
20-<28,18,0,,,
20-<28,19,1,2.9872514999999997,2.9872514999999997,0.0
20-<28,20,3,5.8012364000000005,6.3179834,1.0
20-<28,21,0,,,
20-<28,22,0,,,
20-<28,23,1,6.6856892000000006,6.6856892000000006,1.0
20-<28,24,0,,,
28-<32,11,35,7.616738631428571,7.8124577,0.8857142857142857
28-<32,12,78,7.211540684615384,7.09013215,0.8333333333333334
28-<32,13,77,7.94989605064935,7.9252221,0.9090909090909091
28-<32,14,38,9.62431805,9.60065835,0.9736842105263158
28-<32,15,50,8.632435826,8.54300245,0.9
28-<32,16,70,7.312337151428571,6.450478049999999,0.8142857142857143
28-<32,17,19,9.609031836842107,9.9426899,0.9473684210526315
28-<32,18,6,12.332874050000001,12.4614868,1.0
28-<32,19,37,6.697348432432433,5.6758992,0.8108108108108109
28-<32,20,40,7.801533764999999,7.6286852,0.925
28-<32,21,12,7.0752470249999995,6.4860799,0.9166666666666666
28-<32,22,3,4.560582166666666,5.212165,0.6666666666666666
28-<32,23,37,9.968378216216216,8.4422464,1.0
28-<32,24,32,10.962183053124999,11.2269967,1.0
32-<36,11,19,6.554591663157895,6.8652502,0.8421052631578947
32-<36,12,51,6.554507235294118,7.0360777,0.8627450980392157
32-<36,13,65,7.284657043076923,7.5044194,0.9076923076923077
32-<36,14,38,8.88062325,9.07362015,1.0
32-<36,15,45,8.7728193,8.654387400000001,0.9777777777777777
32-<36,16,59,7.744102674576272,7.8877839000000005,0.7966101694915254
32-<36,17,22,7.263281977272727,6.70799285,0.8181818181818182
32-<36,18,3,8.455420966666667,10.431388499999999,0.6666666666666666
32-<36,19,13,6.595141838461538,4.9531846,1.0
32-<36,20,32,6.427598971875,5.49055465,0.75
32-<36,21,8,7.1703362875000005,6.890078,0.875
32-<36,22,1,3.3394263,3.3394263,0.0
32-<36,23,36,8.163651975,7.47061665,0.8888888888888888
32-<36,24,19,9.69842747894737,8.7640094,0.9473684210526315
36-<40,11,2,4.6403498,4.6403498,0.5
36-<40,12,7,4.920130014285713,4.4842263,0.5714285714285714
36-<40,13,9,4.258905366666667,3.6595575,0.4444444444444444
36-<40,14,1,7.0523134,7.0523134,1.0
36-<40,15,4,4.2576526,4.9698097,0.75
36-<40,16,12,4.830533316666666,4.4820841,0.5833333333333334
36-<40,17,6,7.040233583333333,7.07662105,0.6666666666666666
36-<40,18,1,8.5591261,8.5591261,1.0
36-<40,19,7,5.179386014285714,4.9970432,0.7142857142857143
36-<40,20,11,4.823372954545454,3.7199071,0.45454545454545453
36-<40,21,4,6.069038675,5.72773265,0.75
36-<40,22,2,9.021989049999998,9.021989049999998,1.0
36-<40,23,13,7.020075161538462,7.9357128,0.8461538461538461
36-<40,24,11,6.033314009090909,4.8904581,0.6363636363636364
40+,11,0,,,
40+,12,2,3.2255241000000003,3.2255241000000003,0.5
40+,13,1,3.3909722,3.3909722,0.0
40+,14,0,,,
40+,15,3,2.998965233333333,2.2603972,0.3333333333333333
40+,16,1,7.7036809,7.7036809,1.0
40+,17,0,,,
40+,18,0,,,
40+,19,2,3.93749605,3.93749605,0.5
40+,20,2,8.89880095,8.89880095,1.0
40+,21,0,,,
40+,22,1,5.2179455,5.2179455,1.0
40+,23,4,7.401975425,6.46530655,1.0
40+,24,2,16.124115250000003,16.124115250000003,1.0
