model,fold,test_rows,test_mothers,r_squared_raw_scale,rmse_raw_scale,mae_raw_scale
raw,1,217,54,-0.04602444309685705,3.166982404733307,2.5817894862265054
log,1,217,54,-0.06641848608635992,3.197706254595945,2.6059083654307624
logit,1,217,54,-0.03944520312901023,3.157006918656402,2.6230918324513275
raw,2,217,54,0.03493068659837961,3.124581292803526,2.565555461248861
log,2,217,54,0.03314526200998735,3.127470269977215,2.5658995297094385
logit,2,217,54,0.00891208578634517,3.166421058195118,2.5249636066378875
raw,3,216,53,0.07937919672219296,3.266767111593615,2.701453792382031
log,3,216,53,0.08601414837052157,3.25497396289087,2.6892659925728783
logit,3,216,53,0.03377917210472414,3.346693805764853,2.702592762717664
raw,4,216,53,-0.0648916654626357,3.5678236463887565,2.767635253008111
log,4,216,53,-0.11549067935668789,3.651603700018203,2.818470247011013
logit,4,216,53,-0.16940609974502951,3.738809546813369,2.8475333457288237
raw,5,216,53,0.047553670734028386,3.469782291493565,2.7999315647846688
log,5,216,53,0.049538371347601085,3.466165252888673,2.791116686226022
logit,5,216,53,0.0016532642098620043,3.5524066238224647,2.8010187969971128
