feature_group,feature,display_name,rows,spearman_rho,nominal_pvalue,fdr_bh_pvalue,fdr_bh_significant_0_05,absolute_rho
same_assay_analytical,X染色体浓度,X concentration,1082,0.47444615496407244,7.95211590309784e-62,1.8289866577125034e-60,True,0.47444615496407244
maternal_clinical,检测抽血次数,Draw count,1082,0.3229968016002186,1.0796602250566082e-27,1.2416092588150995e-26,True,0.3229968016002186
same_assay_analytical,18号染色体的Z值,Chr18 Z-score,1082,-0.178162993178759,3.6141440996209757e-09,2.770843809709415e-08,True,0.178162993178759
maternal_clinical,体重,Weight,1082,-0.16697018963604288,3.299411462457054e-08,1.897161590912806e-07,True,0.16697018963604288
sequencing_quality,在参考基因组上比对的比例,Alignment proportion,1082,-0.15943210693349455,1.3493241590853368e-07,6.20689113179255e-07,True,0.15943210693349455
maternal_clinical,孕妇BMI,BMI,1082,-0.15495941516592615,3.018672242238758e-07,1.1571576928581907e-06,True,0.15495941516592615
maternal_clinical,年龄,Maternal age,1082,-0.11720094019880417,0.00011152318585615474,0.000366433324955937,True,0.11720094019880417
same_assay_analytical,Y染色体的Z值,Y Z-score,1082,0.11345519028785761,0.00018421361784903655,0.0005296141513159801,True,0.11345519028785761
sequencing_quality,重复读段的比例,Duplicate-read proportion,1082,0.1058103196583375,0.0004898103586609589,0.0012517375832446728,True,0.1058103196583375
maternal_clinical,身高,Height,1082,-0.10112886401612817,0.0008647006231826148,0.001988811433320014,True,0.10112886401612817
sequencing_quality,被过滤掉读段数的比例,Filtered-read proportion,1082,0.0860377141892331,0.004624537062341289,0.008908351096376046,True,0.0860377141892331
sequencing_quality,原始读段数,Raw read count,1082,-0.08598906895682422,0.00464783535463098,0.008908351096376046,True,0.08598906895682422
maternal_clinical,gestational_week,Gestational week,1082,0.08428675276902133,0.0055330486404856286,0.009789239902397651,True,0.08428675276902133
same_assay_analytical,13号染色体的Z值,Chr13 Z-score,1082,-0.0766495253719725,0.011666035877230876,0.01916563036973644,True,0.0766495253719725
sequencing_quality,唯一比对的读段数,Unique mapped reads,1082,-0.06943907987737101,0.02235799041574383,0.034282251970807205,True,0.06943907987737101
same_assay_analytical,X染色体的Z值,X Z-score,1082,-0.05589144422773659,0.06609308686476724,0.09500881236810291,False,0.05589144422773659
sequencing_quality,18号染色体的GC含量,Chr18 GC content,1082,-0.0499333079547635,0.10066873078005985,0.1361988710553751,False,0.0499333079547635
sequencing_quality,13号染色体的GC含量,Chr13 GC content,1082,-0.037209813573635536,0.22133734384349316,0.2828199393555746,False,0.037209813573635536
maternal_clinical,gravidity_ordinal,Gravidity (ordinal),1082,-0.034276961395877506,0.2599428550920631,0.31096057932882204,False,0.034276961395877506
same_assay_analytical,21号染色体的Z值,Chr21 Z-score,1082,0.033535402723624305,0.27040050376419306,0.31096057932882204,False,0.033535402723624305
sequencing_quality,GC含量,Overall GC content,1082,-0.01664606230814856,0.5844084746807454,0.6400664246503402,False,0.01664606230814856
sequencing_quality,21号染色体的GC含量,Chr21 GC content,1082,-0.010695551937261806,0.7252729797454363,0.7582399333702288,False,0.010695551937261806
maternal_clinical,parity_ordinal,Parity (ordinal),1082,-0.007174227357272157,0.8136517863614734,0.8136517863614734,False,0.007174227357272157
